综合,#genre#
CCTV13新闻,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8

CCTV1,http://myxzgy.dynv6.net:4000/udp/233.50.201.118:5140
CCTV2,http://myxzgy.dynv6.net:4000/udp/233.50.201.119:5140
CCTV3,http://myxzgy.dynv6.net:4000/udp/233.50.201.196:5140
CCTV4,http://myxzgy.dynv6.net:4000/udp/233.50.201.4:5140
CCTV5,http://myxzgy.dynv6.net:4000/udp/233.50.201.197:5140
CCTV5+,http://myxzgy.dynv6.net:4000/udp/233.50.201.220:5140
CCTV6,http://myxzgy.dynv6.net:4000/udp/233.50.201.198:5140
CCTV7,http://myxzgy.dynv6.net:4000/udp/233.50.201.120:5140
CCTV8,http://myxzgy.dynv6.net:4000/udp/233.50.201.199:5140
CCTV9,http://myxzgy.dynv6.net:4000/udp/233.50.201.121:5140
CCTV10,http://myxzgy.dynv6.net:4000/udp/233.50.201.122:5140
CCTV11,http://myxzgy.dynv6.net:4000/udp/233.50.201.11:5140
CCTV12,http://myxzgy.dynv6.net:4000/udp/233.50.201.123:5140
CCTV13,http://myxzgy.dynv6.net:4000/udp/233.50.201.246:5140
CCTV14,http://myxzgy.dynv6.net:4000/udp/233.50.201.124:5140
CCTV15,http://myxzgy.dynv6.net:4000/udp/233.50.201.15:5140
CCTV16 4k,http://myxzgy.dynv6.net:4000/udp/233.50.201.63:5140
CCTV16,http://myxzgy.dynv6.net:4000/udp/233.50.201.192:5140
CCTV17,http://myxzgy.dynv6.net:4000/udp/233.50.201.35:5140
浙江卫视,http://myxzgy.dynv6.net:4000/udp/233.50.201.100:5140
深圳卫视,http://myxzgy.dynv6.net:4000/udp/233.50.201.101:5140
广东卫视,http://myxzgy.dynv6.net:4000/udp/233.50.201.102:5140
湖南卫视,http://myxzgy.dynv6.net:4000/udp/233.50.201.103:5140
天津卫视,http://myxzgy.dynv6.net:4000/udp/233.50.201.104:5140
山东卫视,http://myxzgy.dynv6.net:4000/udp/233.50.201.105:5140
江苏卫视,http://myxzgy.dynv6.net:4000/udp/233.50.201.106:5140
北京卫视,http://myxzgy.dynv6.net:4000/udp/233.50.201.107:5140
四川卫视,http://myxzgy.dynv6.net:4000/udp/233.50.201.139:5140
河北卫视,http://myxzgy.dynv6.net:4000/udp/233.50.201.140:5140
辽宁卫视,http://myxzgy.dynv6.net:4000/udp/233.50.201.141:5140
贵州卫视,http://myxzgy.dynv6.net:4000/udp/233.50.201.142:5140
重庆卫视,http://myxzgy.dynv6.net:4000/udp/233.50.201.143:5140
河南卫视,http://myxzgy.dynv6.net:4000/udp/233.50.201.144:5140
江西卫视,http://myxzgy.dynv6.net:4000/udp/233.50.201.145:5140
东南卫视,http://myxzgy.dynv6.net:4000/udp/233.50.201.146:5140
安徽卫视,http://myxzgy.dynv6.net:4000/udp/233.50.201.113:5140
湖北卫视,http://myxzgy.dynv6.net:4000/udp/233.50.201.114:5140
黑龙江卫视,http://myxzgy.dynv6.net:4000/udp/233.50.201.115:5140
东方卫视,http://myxzgy.dynv6.net:4000/udp/233.50.201.125:5140
内蒙古卫视,http://myxzgy.dynv6.net:4000/udp/233.50.201.148:5140
